City,Lat,Long,Country_of_citizenship,COC_Lat,COC_Long,Count
CUPERTINO,37.3167,-122.0465,RUSSIA,61.52401,105.318756,29
CUPERTINO,37.3167,-122.0465,SOUTH KOREA,35.907757,127.766922,79
CUPERTINO,37.3167,-122.0465,TAIWAN,23.69781,120.960515,63
CUPERTINO,37.3167,-122.0465,TURKEY,38.963745,35.243322,15
CUPERTINO,37.3167,-122.0465,UNITED KINGDOM,55.378051,-3.435973,105
CUPERTINO,37.3167,-122.0465,VENEZUELA,6.42375,-66.58973,5
CUPERTINO,37.3167,-122.0465,VIETNAM,14.058324,108.277199,5
PALO ALTO,40.6861,-76.1699,BRAZIL,-14.235004,-51.92528,41
PALO ALTO,40.6861,-76.1699,CANADA,56.130366,-106.346771,154
PALO ALTO,40.6861,-76.1699,CHINA,35.86166,104.195397,322
PALO ALTO,40.6861,-76.1699,FRANCE,46.227638,2.213749,68
PALO ALTO,40.6861,-76.1699,GERMANY,51.165691,10.451526,55
PALO ALTO,40.6861,-76.1699,INDIA,20.593684,78.96288,2074
PALO ALTO,40.6861,-76.1699,IRAN,32.427908,53.688046,9
PALO ALTO,40.6861,-76.1699,ITALY,41.87194,12.56738,18
PALO ALTO,40.6861,-76.1699,JAPAN,36.204824,138.252924,13
PALO ALTO,40.6861,-76.1699,MEXICO,23.634501,-102.552784,61
PALO ALTO,40.6861,-76.1699,NEPAL,28.394857,84.124008,8
PALO ALTO,40.6861,-76.1699,PAKISTAN,30.375321,69.345116,10
PALO ALTO,40.6861,-76.1699,PHILIPPINES,12.879721,121.774017,15
PALO ALTO,40.6861,-76.1699,RUSSIA,61.52401,105.318756,26
PALO ALTO,40.6861,-76.1699,SOUTH KOREA,35.907757,127.766922,23
PALO ALTO,40.6861,-76.1699,TAIWAN,23.69781,120.960515,36
PALO ALTO,40.6861,-76.1699,TURKEY,38.963745,35.243322,24
PALO ALTO,40.6861,-76.1699,UNITED KINGDOM,55.378051,-3.435973,66
PALO ALTO,40.6861,-76.1699,VENEZUELA,6.42375,-66.58973,5
PALO ALTO,40.6861,-76.1699,VIETNAM,14.058324,108.277199,9
