City,Lat,Long,Country_of_citizenship,COC_Lat,COC_Long,Count
SANTA CLARA,32.7778,-108.1555,VENEZUELA,6.42375,-66.58973,10
SANTA CLARA,32.7778,-108.1555,VIETNAM,14.058324,108.277199,11
SAN JOSE,35.3955,-105.4759,BRAZIL,-14.235004,-51.92528,25
SAN JOSE,35.3955,-105.4759,CANADA,56.130366,-106.346771,327
SAN JOSE,35.3955,-105.4759,CHINA,35.86166,104.195397,1032
SAN JOSE,35.3955,-105.4759,FRANCE,46.227638,2.213749,48
SAN JOSE,35.3955,-105.4759,GERMANY,51.165691,10.451526,51
SAN JOSE,35.3955,-105.4759,INDIA,20.593684,78.96288,6563
SAN JOSE,35.3955,-105.4759,IRAN,32.427908,53.688046,38
SAN JOSE,35.3955,-105.4759,ITALY,41.87194,12.56738,22
SAN JOSE,35.3955,-105.4759,JAPAN,36.204824,138.252924,47
SAN JOSE,35.3955,-105.4759,MEXICO,23.634501,-102.552784,80
SAN JOSE,35.3955,-105.4759,NEPAL,28.394857,84.124008,21
SAN JOSE,35.3955,-105.4759,PAKISTAN,30.375321,69.345116,52
SAN JOSE,35.3955,-105.4759,PHILIPPINES,12.879721,121.774017,100
SAN JOSE,35.3955,-105.4759,RUSSIA,61.52401,105.318756,37
SAN JOSE,35.3955,-105.4759,SOUTH KOREA,35.907757,127.766922,233
SAN JOSE,35.3955,-105.4759,TAIWAN,23.69781,120.960515,246
SAN JOSE,35.3955,-105.4759,TURKEY,38.963745,35.243322,26
SAN JOSE,35.3955,-105.4759,UNITED KINGDOM,55.378051,-3.435973,90
SAN JOSE,35.3955,-105.4759,VENEZUELA,6.42375,-66.58973,7
SAN JOSE,35.3955,-105.4759,VIETNAM,14.058324,108.277199,25
REDMOND,47.6776,-122.1176,BRAZIL,-14.235004,-51.92528,99
REDMOND,47.6776,-122.1176,CANADA,56.130366,-106.346771,951
REDMOND,47.6776,-122.1176,CHINA,35.86166,104.195397,1455
REDMOND,47.6776,-122.1176,FRANCE,46.227638,2.213749,77
REDMOND,47.6776,-122.1176,GERMANY,51.165691,10.451526,50
REDMOND,47.6776,-122.1176,INDIA,20.593684,78.96288,3817
REDMOND,47.6776,-122.1176,IRAN,32.427908,53.688046,64
REDMOND,47.6776,-122.1176,ITALY,41.87194,12.56738,45
REDMOND,47.6776,-122.1176,JAPAN,36.204824,138.252924,39
REDMOND,47.6776,-122.1176,MEXICO,23.634501,-102.552784,190
REDMOND,47.6776,-122.1176,NEPAL,28.394857,84.124008,25
REDMOND,47.6776,-122.1176,PAKISTAN,30.375321,69.345116,87
REDMOND,47.6776,-122.1176,PHILIPPINES,12.879721,121.774017,15
REDMOND,47.6776,-122.1176,RUSSIA,61.52401,105.318756,201
REDMOND,47.6776,-122.1176,SOUTH KOREA,35.907757,127.766922,103
